You can do it. Keep going. Breathe.	Tú puedes. Sigue, sigue, sigue. Respira.
Don't close your legs. Don't.	No me cierres las piernas. No las cierres.
Hey, Romina, don't forget you go last here.	Ey, Romina, no se le olvide que acá va de última.
Oh, you snooze, you lose.	Ay, como lo vi tan dormidito.
Don't you know female centaurs don't exist?	¡Ja! ¿Usted no sabía que las centauros mujeres no existen?
Tato, did you know that if there's a male, it's because a female gave birth to it?	Tato, ¿y sabe que si hay un hombre de cada cosa es porque una hembra lo parió? ¿O no?
You know what you need to do to become a centaur?	¡Ja! ¿Sabe qué le falta a usted para ser una centauro?
Instead of plodding along, learn to fly.	Volar, porque con lo lenta que es…
Come on, Tato, instead of trying to distract me,	Venga, Tato. En vez de tratar de desconcentrarme, concéntrese en lo suyo más bien.
Because my brunette and I are all in!	¡Porque mi Morocha y yo vamos con toda!
Let's see if you can beat this time.	Vamos a ver si supera este tiempo.
Let's see if you can stay on your bike.	Pues vamos a ver si no se cae.
What a fall, let's help. No, wait.	¡Qué golpe! Vamos a ayudar. No, espere.
How did nothing happen to that guy?	¿A ese man cómo no le pasó nada?
That guy's fierce. Got up like it was nothing.	Berraco ese pelado porque se paró como si nada.
Let's go see who wins the race. Let's go.	Vamos a ver quién ganó la carrera. Hágale pues.
Romina Páez is the national downhill champion!	¡Romina Páez es la ganadora del campeonato nacional de downhill!
Laurita, it's turning out beautifully.	Laurita, le está quedando muy bonito, de verdad.
If you say so, Rubén.	Si usted, Rubén, lo dice, yo le creo.
Oh, Rubén, wait. I have a gift for you.	Ay, Rubén, espere, espere. Yo le tenía un regalito.
